customer_id,registration_date,home_neighborhood_type,is_member,preferred_store_id
1,2023-02-03,hospital,True,4
2,2023-03-28,gas_station,True,12
3,2023-04-21,gas_station,True,11
4,2023-08-03,university,True,3
5,2023-04-17,gas_station,True,13
6,2023-06-07,university,True,19
7,2023-08-10,gas_station,True,13
8,2023-08-24,mall,True,6
9,2023-07-11,tourist,True,2
10,2023-06-02,tourist,True,15
11,2023-11-29,tourist,True,15
12,2024-02-17,tourist,True,15
13,2023-10-24,tourist,True,15
14,2023-06-21,hospital,True,18
15,2023-09-26,mall,True,6
16,2023-03-28,university,True,3
17,2023-06-16,tourist,True,2
18,2023-05-10,tourist,True,15
19,2023-04-20,gas_station,True,11
20,2023-03-20,mall,True,6
21,2023-07-15,hospital,True,4
22,2023-10-14,gas_station,True,12
23,2023-07-30,tourist,True,10
24,2024-04-30,urban_residential,True,5
25,2023-02-04,gas_station,True,11
26,2023-03-10,urban_residential,True,5
27,2023-05-23,hospital,True,7
28,2023-07-13,hospital,True,7
29,2023-04-03,hospital,True,4
30,2023-08-20,hospital,True,4
31,2023-04-18,gas_station,True,11
32,2023-04-14,university,True,1
33,2024-01-21,tourist,True,2
34,2023-10-09,office,True,17
35,2023-06-26,gas_station,True,13
36,2024-01-10,gas_station,True,13
37,2023-05-16,urban_residential,True,5
38,2023-03-03,mall,True,6
39,2023-05-08,hospital,True,4
40,2023-07-24,university,True,14
41,2023-07-27,urban_residential,True,5
42,2023-03-26,office,True,17
43,2024-06-12,gas_station,True,13
44,2023-02-14,tourist,True,2
45,2023-06-04,transit,True,20
46,2023-07-07,transit,True,16
47,2023-04-29,university,True,14
48,2023-09-02,gas_station,True,11
49,2023-08-16,tourist,True,10
50,2023-07-19,university,True,14
51,2023-05-05,gas_station,True,11
52,2023-08-21,hospital,True,7
53,2023-07-16,urban_residential,True,8
54,2023-05-30,transit,True,16
55,2023-12-25,university,True,3
56,2023-04-16,university,True,3
57,2023-09-04,university,True,1
58,2023-08-22,hospital,True,7
59,2023-09-23,university,True,14
60,2023-09-02,hospital,True,18
61,2024-02-10,university,True,1
62,2023-01-12,university,True,1
63,2023-11-16,university,True,3
64,2023-06-25,transit,True,16
65,2023-03-08,tourist,True,9
66,2023-12-13,hospital,True,4
67,2023-05-10,university,True,1
68,2023-06-25,university,True,1
69,2023-06-01,mall,True,6
70,2023-03-07,gas_station,True,13
71,2023-04-04,hospital,True,4
72,2023-05-21,university,True,3
73,2023-09-10,transit,True,16
74,2023-02-01,gas_station,True,13
75,2023-10-15,tourist,True,10
76,2023-05-10,tourist,True,10
77,2023-02-01,hospital,True,7
78,2023-10-31,gas_station,True,11
79,2023-06-08,tourist,True,15
80,2023-07-08,gas_station,True,11
81,2023-07-02,tourist,True,2
82,2023-10-01,mall,True,6
83,2023-02-20,tourist,True,15
84,2023-09-05,hospital,True,4
85,2023-06-12,university,True,19
86,2023-03-09,gas_station,True,13
87,2023-08-26,urban_residential,True,5
88,2023-11-27,office,True,17
89,2023-03-24,university,True,19
90,2023-07-07,hospital,True,4
91,2023-02-09,university,True,1
92,2023-06-03,tourist,True,2
93,2023-08-15,tourist,True,15
94,2024-03-10,gas_station,True,11
95,2023-04-02,university,True,3
96,2023-07-01,hospital,True,18
97,2023-11-28,university,True,1
98,2023-08-06,hospital,True,7
99,2023-05-20,hospital,True,4
100,2023-07-03,tourist,True,15
101,2024-04-22,tourist,True,2
102,2024-01-08,university,True,3
103,2023-05-06,gas_station,True,11
104,2023-06-20,transit,True,16
105,2023-08-09,gas_station,True,11
106,2023-08-24,office,True,17
107,2023-03-25,university,True,14
108,2023-06-02,transit,True,16
109,2023-06-07,transit,True,20
110,2024-07-24,gas_station,True,11
111,2023-06-17,transit,True,16
112,2023-05-21,hospital,True,18
113,2023-09-15,tourist,True,9
114,2023-11-24,tourist,True,15
115,2023-09-26,tourist,True,10
116,2023-11-30,university,True,19
117,2023-06-08,hospital,True,18
118,2023-10-22,hospital,True,7
119,2023-04-14,hospital,True,18
120,2023-03-28,university,True,19
121,2023-07-28,hospital,True,7
122,2023-07-18,hospital,True,18
123,2023-06-17,mall,True,6
124,2024-01-29,office,True,17
125,2024-01-08,university,True,19
126,2023-01-26,tourist,True,9
127,2023-06-19,transit,True,16
128,2023-03-18,hospital,True,7
129,2023-09-30,urban_residential,True,5
130,2023-10-26,tourist,True,9
131,2023-03-01,gas_station,True,12
132,2023-02-01,transit,True,16
133,2023-03-10,urban_residential,True,5
134,2023-08-22,university,True,19
135,2024-05-21,university,True,19
136,2024-05-17,hospital,True,4
137,2024-02-23,mall,True,6
138,2023-10-02,hospital,True,18
139,2023-09-12,university,True,19
140,2023-07-18,transit,True,20
141,2023-08-13,office,True,17
142,2023-02-06,tourist,True,2
143,2023-11-21,university,True,3
144,2023-12-20,hospital,True,18
145,2024-01-21,university,True,19
146,2023-10-13,university,True,1
147,2023-03-04,tourist,True,15
148,2023-05-05,tourist,True,2
149,2023-04-04,office,True,17
150,2023-12-12,mall,True,6
151,2023-09-19,university,True,3
152,2023-05-04,tourist,True,9
153,2023-09-18,hospital,True,4
154,2023-07-04,university,True,14
155,2024-03-26,gas_station,True,13
156,2024-02-01,urban_residential,True,8
157,2023-03-25,hospital,True,18
158,2023-09-25,transit,True,16
159,2023-06-28,gas_station,True,13
160,2023-12-09,urban_residential,True,8
161,2023-07-20,hospital,True,7
162,2023-04-07,urban_residential,True,8
163,2023-11-16,hospital,True,7
164,2023-09-23,mall,True,6
165,2023-02-03,urban_residential,True,5
166,2023-06-17,university,True,14
167,2023-03-12,gas_station,True,13
168,2023-10-09,transit,True,20
169,2023-06-17,tourist,True,9
170,2023-04-13,gas_station,True,11
171,2023-05-02,office,True,17
172,2024-06-04,tourist,True,9
173,2023-04-04,hospital,True,4
174,2023-07-24,office,True,17
175,2023-02-20,tourist,True,15
176,2023-03-10,urban_residential,True,5
177,2023-06-16,urban_residential,True,8
178,2023-10-24,gas_station,True,11
179,2023-05-17,transit,True,20
180,2023-07-28,urban_residential,True,5
181,2023-07-23,gas_station,True,11
182,2023-02-04,gas_station,True,11
183,2023-07-14,gas_station,True,12
184,2023-08-17,tourist,True,2
185,2023-07-25,mall,True,6
186,2023-11-16,gas_station,True,13
187,2023-12-21,tourist,True,10
188,2023-05-07,urban_residential,True,8
189,2023-07-12,gas_station,True,11
190,2023-03-12,hospital,True,7
191,2023-09-14,hospital,True,4
192,2023-08-11,hospital,True,7
193,2023-08-03,hospital,True,7
194,2023-06-03,tourist,True,9
195,2023-05-31,tourist,True,15
196,2023-03-15,university,True,14
197,2023-05-19,hospital,True,18
198,2024-03-31,mall,True,6
199,2023-10-20,hospital,True,7
200,2023-09-04,gas_station,True,13
201,2024-01-04,urban_residential,True,8
202,2023-12-03,tourist,True,9
203,2023-08-10,tourist,True,9
204,2023-03-18,university,True,19
205,2023-07-20,university,True,14
206,2023-07-26,urban_residential,True,5
207,2023-06-09,gas_station,True,12
208,2023-09-29,hospital,True,4
209,2023-03-03,tourist,True,10
210,2023-04-30,transit,True,20
211,2023-08-17,gas_station,True,12
212,2023-03-01,transit,True,16
213,2023-12-05,urban_residential,True,5
214,2023-06-06,gas_station,True,11
215,2023-09-29,hospital,True,7
216,2023-06-03,hospital,True,7
217,2023-11-05,university,True,19
218,2023-06-11,tourist,True,9
219,2023-07-20,hospital,True,7
220,2023-05-04,hospital,True,4
221,2024-01-13,tourist,True,15
222,2023-04-12,office,True,17
223,2023-07-25,gas_station,True,11
224,2024-07-13,tourist,True,15
225,2023-10-29,gas_station,True,13
226,2023-08-25,transit,True,16
227,2023-09-28,transit,True,20
228,2023-01-23,university,True,14
229,2023-03-23,university,True,19
230,2024-02-23,mall,True,6
231,2023-07-05,urban_residential,True,8
232,2023-04-10,tourist,True,10
233,2023-08-29,hospital,True,4
234,2023-02-24,hospital,True,7
235,2024-01-18,office,True,17
236,2024-05-21,hospital,True,18
237,2023-04-18,university,True,1
238,2023-08-18,urban_residential,True,5
239,2023-12-27,urban_residential,True,5
240,2024-03-13,tourist,True,2
241,2023-01-11,tourist,True,2
242,2023-10-02,university,True,3
243,2023-08-21,urban_residential,True,5
244,2023-08-02,tourist,True,9
245,2023-09-21,mall,True,6
246,2023-06-11,transit,True,20
247,2023-10-22,university,True,1
248,2023-06-08,gas_station,True,12
249,2023-11-30,mall,True,6
250,2023-05-09,tourist,True,10
251,2023-09-02,hospital,True,7
252,2023-09-08,hospital,True,4
253,2023-06-18,hospital,True,4
254,2023-08-21,gas_station,True,12
255,2023-06-10,university,True,19
256,2023-01-28,university,True,14
257,2023-05-24,university,True,19
258,2023-11-26,hospital,True,7
259,2023-03-28,urban_residential,True,5
260,2024-04-01,transit,True,20
261,2023-08-26,gas_station,True,11
262,2023-01-11,tourist,True,10
263,2023-05-16,urban_residential,True,5
264,2023-06-11,office,True,17
265,2023-06-25,gas_station,True,13
266,2023-08-23,university,True,14
267,2023-03-19,tourist,True,10
268,2023-12-06,hospital,True,7
269,2023-04-04,hospital,True,18
270,2023-03-21,gas_station,True,13
271,2023-05-29,gas_station,True,11
272,2023-07-19,hospital,True,7
273,2023-06-21,tourist,True,2
274,2023-02-19,university,True,19
275,2023-09-23,hospital,True,4
276,2024-03-14,transit,True,20
277,2023-08-22,university,True,19
278,2023-12-22,transit,True,16
279,2023-10-20,mall,True,6
280,2023-02-27,urban_residential,True,8
281,2023-08-07,hospital,True,7
282,2023-12-07,hospital,True,4
283,2023-08-12,university,True,3
284,2023-05-09,hospital,True,4
285,2023-07-15,gas_station,True,13
286,2023-11-15,university,True,19
287,2024-03-05,tourist,True,9
288,2023-08-28,hospital,True,4
289,2023-04-06,transit,True,16
290,2023-08-23,hospital,True,4
291,2023-05-29,university,True,19
292,2023-05-20,tourist,True,9
293,2023-06-13,mall,True,6
294,2023-07-19,tourist,True,10
295,2023-10-19,hospital,True,7
296,2023-08-29,hospital,True,7
297,2023-02-27,tourist,True,10
298,2023-07-23,tourist,True,10
299,2023-01-31,gas_station,True,12
300,2023-08-20,university,True,3
301,2023-09-22,office,True,17
302,2023-06-13,hospital,True,4
303,2023-05-19,university,True,3
304,2023-04-13,tourist,True,2
305,2023-12-29,hospital,True,4
306,2024-02-04,hospital,True,4
307,2023-01-26,tourist,True,15
308,2023-12-20,hospital,True,7
309,2024-06-15,urban_residential,True,8
310,2023-07-09,tourist,True,10
311,2023-02-24,transit,True,20
312,2023-10-22,university,True,3
313,2023-01-31,gas_station,True,13
314,2023-03-08,university,True,19
315,2023-04-06,tourist,True,2
316,2023-06-18,office,True,17
317,2023-06-10,transit,True,20
318,2023-09-29,office,True,17
319,2023-10-23,gas_station,True,13
320,2023-10-07,transit,True,16
321,2023-09-21,hospital,True,18
322,2023-01-26,gas_station,True,11
323,2023-03-26,tourist,True,9
324,2023-08-14,tourist,True,10
325,2023-05-03,transit,True,20
326,2023-05-13,tourist,True,15
327,2023-06-16,urban_residential,True,5
328,2023-06-18,university,True,19
329,2023-07-10,tourist,True,9
330,2023-09-20,office,True,17
331,2023-10-11,urban_residential,True,5
332,2023-04-19,office,True,17
333,2023-02-09,hospital,True,4
334,2023-07-07,university,True,19
335,2023-05-15,transit,True,20
336,2023-03-17,urban_residential,True,5
337,2023-05-26,mall,True,6
338,2023-05-21,university,True,14
339,2023-05-01,urban_residential,True,8
340,2023-08-19,gas_station,True,13
341,2023-04-30,transit,True,16
342,2023-08-06,hospital,True,7
343,2023-10-06,hospital,True,7
344,2023-06-16,gas_station,True,12
345,2023-07-31,urban_residential,True,8
346,2023-04-27,tourist,True,15
347,2023-03-19,tourist,True,9
348,2023-09-11,university,True,1
349,2024-01-26,hospital,True,7
350,2023-06-22,urban_residential,True,5
351,2023-07-10,office,True,17
352,2023-03-23,hospital,True,7
353,2023-05-15,gas_station,True,11
354,2023-11-08,office,True,17
355,2023-04-03,tourist,True,15
356,2023-05-06,hospital,True,7
357,2023-04-11,transit,True,20
358,2023-12-13,university,True,14
359,2023-07-19,transit,True,20
360,2023-05-30,gas_station,True,12
361,2023-04-04,gas_station,True,12
362,2023-05-12,university,True,14
363,2023-08-26,office,True,17
364,2024-03-19,office,True,17
365,2023-12-11,gas_station,True,13
366,2023-03-01,gas_station,True,13
367,2024-01-16,gas_station,True,11
368,2024-02-04,tourist,True,10
369,2023-07-26,urban_residential,True,5
370,2023-10-02,gas_station,True,12
371,2023-08-31,hospital,True,4
372,2023-01-28,urban_residential,True,5
373,2023-04-13,university,True,14
374,2023-05-06,mall,True,6
375,2023-03-16,urban_residential,True,8
376,2023-03-19,gas_station,True,11
377,2023-08-21,university,True,1
378,2023-08-17,hospital,True,7
379,2024-02-18,gas_station,True,11
380,2023-08-12,university,True,3
381,2023-06-25,university,True,3
382,2023-03-24,hospital,True,4
383,2023-06-25,gas_station,True,11
384,2023-08-29,gas_station,True,13
385,2023-09-20,hospital,True,7
386,2023-06-26,gas_station,True,11
387,2023-10-20,university,True,19
388,2023-11-09,tourist,True,10
389,2023-06-29,urban_residential,True,5
390,2023-10-05,gas_station,True,13
391,2023-03-05,hospital,True,18
392,2023-04-18,urban_residential,True,5
393,2023-03-17,hospital,True,7
394,2023-07-25,university,True,19
395,2024-01-15,tourist,True,2
396,2023-08-26,office,True,17
397,2024-03-04,hospital,True,4
398,2023-03-10,office,True,17
399,2023-07-04,tourist,True,15
400,2023-08-27,tourist,True,10
401,2024-02-20,tourist,True,10
402,2023-02-27,university,True,19
403,2023-12-27,tourist,True,9
404,2023-06-11,tourist,True,10
405,2023-06-17,mall,True,6
406,2023-05-21,university,True,14
407,2023-06-10,tourist,True,10
408,2023-11-16,university,True,3
409,2023-07-04,transit,True,16
410,2023-05-27,university,True,3
411,2023-10-07,university,True,3
412,2023-08-08,university,True,1
413,2023-08-31,urban_residential,True,5
414,2024-04-25,transit,True,16
415,2023-05-02,gas_station,True,11
416,2023-02-25,university,True,3
417,2024-01-04,urban_residential,True,5
418,2023-09-14,tourist,True,2
419,2023-11-06,transit,True,20
420,2023-01-12,mall,True,6
421,2023-09-15,urban_residential,True,5
422,2023-07-29,hospital,True,4
423,2023-11-29,gas_station,True,11
424,2023-03-18,urban_residential,True,8
425,2023-07-19,tourist,True,9
426,2023-09-30,hospital,True,7
427,2023-12-14,hospital,True,4
428,2023-06-25,tourist,True,15
429,2023-11-23,gas_station,True,13
430,2023-07-20,mall,True,6
431,2023-03-28,transit,True,20
432,2023-06-12,hospital,True,7
433,2023-04-28,transit,True,16
434,2023-07-20,gas_station,True,11
435,2023-03-04,transit,True,16
