promo_id,campaign_id,product_id,store_id,start_date,end_date,promo_type,discount_pct,email_sent,social_campaign
1,1,37,2,2023-11-09,2023-11-22,ชุดคู่ลด,30,True,True
2,1,48,2,2023-11-09,2023-11-22,ชุดคู่ลด,30,True,True
3,1,6,2,2023-11-09,2023-11-22,ชุดคู่ลด,30,True,True
4,1,17,2,2023-11-09,2023-11-22,ชุดคู่ลด,30,True,True
5,1,51,2,2023-11-09,2023-11-22,ชุดคู่ลด,30,True,True
6,2,1,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
7,2,2,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
8,2,3,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
9,2,4,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
10,2,5,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
11,2,6,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
12,2,7,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
13,2,8,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
14,2,9,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
15,2,10,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
16,2,11,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
17,2,12,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
18,2,13,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
19,2,14,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
20,2,15,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
21,2,16,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
22,2,17,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
23,2,18,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
24,2,19,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
25,2,20,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
26,2,21,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
27,2,22,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
28,2,23,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
29,2,24,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
30,2,25,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
31,2,26,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
32,2,27,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
33,2,28,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
34,2,29,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
35,2,30,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
36,2,31,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
37,2,32,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
38,2,33,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
39,2,34,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
40,2,35,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
41,2,36,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
42,2,37,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
43,2,38,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
44,2,39,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
45,2,40,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
46,2,41,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
47,2,42,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
48,2,43,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
49,2,44,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
50,2,45,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
51,2,46,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
52,2,47,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
53,2,48,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
54,2,49,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
55,2,50,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
56,2,51,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
57,2,52,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
58,2,53,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
59,2,54,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
60,2,55,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
61,2,56,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
62,2,57,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
63,2,58,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
64,2,59,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
65,2,60,12,2023-06-30,2023-07-05,สมาชิกใหม่,10,False,True
66,3,57,14,2023-03-20,2023-03-24,ชุดคู่ลด,15,True,True
67,3,56,14,2023-03-20,2023-03-24,ชุดคู่ลด,15,True,True
68,4,54,11,2024-08-02,2024-08-15,ลดราคา,10,False,False
69,4,45,11,2024-08-02,2024-08-15,ลดราคา,10,False,False
70,4,57,11,2024-08-02,2024-08-15,ลดราคา,10,False,False
71,4,30,11,2024-08-02,2024-08-15,ลดราคา,10,False,False
72,4,39,11,2024-08-02,2024-08-15,ลดราคา,10,False,False
73,4,1,11,2024-08-02,2024-08-15,ลดราคา,10,False,False
74,4,13,11,2024-08-02,2024-08-15,ลดราคา,10,False,False
75,4,12,11,2024-08-02,2024-08-15,ลดราคา,10,False,False
76,4,50,11,2024-08-02,2024-08-15,ลดราคา,10,False,False
77,4,3,11,2024-08-02,2024-08-15,ลดราคา,10,False,False
78,4,47,11,2024-08-02,2024-08-15,ลดราคา,10,False,False
79,4,14,11,2024-08-02,2024-08-15,ลดราคา,10,False,False
80,4,58,11,2024-08-02,2024-08-15,ลดราคา,10,False,False
81,4,28,11,2024-08-02,2024-08-15,ลดราคา,10,False,False
82,4,33,11,2024-08-02,2024-08-15,ลดราคา,10,False,False
